0
Bat,-1,-1,false,-1
Beetle,-1,-1,false,-1
Book,-1,-1,false,-1
Candle,-1,-1,false,-1
Diamond,-1,-1,false,-1
Dragon,-1,-1,false,-1
Emerald,-1,-1,false,-1
Genie,-1,-1,false,-1
Ghost,-1,-1,false,-1
Horse,-1,-1,false,-1
Keys,-1,-1,false,-1
Knight,-1,-1,false,-1
Lizard,-1,-1,false,-1
Map,-1,-1,false,-1
Money,-1,-1,false,-1
Moth,-1,-1,false,-1
Mouse,-1,-1,false,-1
Owl,-1,-1,false,-1
Pig,-1,-1,false,-1
Ring,-1,-1,false,-1
Skeleton,-1,-1,false,-1
Sorceress,-1,-1,false,-1
Spider,-1,-1,false,-1
TreasureChest,-1,-1,false,-1
